"roomNumber","roomType","floor","status","checkInAt","expectedCheckoutAt","memberId"
"R101","Standard","1","CLEANING_IN_PROGRESS","-","-","-"
"R102","Standard","1","DIRTY","-","-","-"
"R103","Standard","1","INSPECTED","-","-","-"
"R104","Standard","1","DIRTY","-","-","-"
"R201","Deluxe","2","INSPECTED","-","-","-"
"R202","Deluxe","2","DIRTY","-","-","-"
"R203","Deluxe","2","OCCUPIED","2026-08-28T10:30:00","2026-08-30T12:00:00","LM006"
"R204","Deluxe","2","READY_FOR_CHECK_IN","-","-","-"
"R301","Suite","3","OCCUPIED","2026-08-28T11:00:00","2026-08-30T12:00:00","LM007"
"R302","Suite","3","DIRTY","-","-","-"
"R303","Suite","3","OCCUPIED","2026-08-29T00:21:00","2026-08-30T12:00:00","LM002"
"R304","Suite","3","READY_FOR_CHECK_IN","-","-","-"
"R401","Family","4","CLEANING_IN_PROGRESS","-","-","-"
"R402","Family","4","CLEANING_IN_PROGRESS","-","-","-"
"R401","Family","4","OCCUPIED","2026-08-29T17:05:00","2026-08-31T12:00:00","LM025"
"R402","Family","4","DIRTY","-","-","-"
"R403","Family","4","OCCUPIED","2026-08-29T00:03:00","2026-08-31T12:00:00","LM001"
"R501","Executive","5","OCCUPIED","2026-08-29T17:17:00","2026-09-05T12:00:00","LM021"
"R502","Executive","5","OCCUPIED","2026-08-28T16:25:00","2026-08-30T12:00:00","LM003"
"R503","Executive","5","LCO","2026-08-29T01:21:00","2026-09-01T12:00:00","LM008"
"R601","Presidential","6","LCO","2026-08-29T00:09:00","2026-09-03T12:00:00","LM010"
"R602","Presidential","6","OCCUPIED","2026-08-29T17:00:00","2026-09-01T12:00:00","LM022"
